date,total cases,recovery,death,active cases
Mar 10,5,0,0,5
Mar 11,11,0,0,11
Mar 12,14,0,0,14
Mar 13,17,0,0,17
Mar 14,26,0,0,26
Mar 15,32,0,0,32
Mar 16,39,0,0,39
Mar 17,41,0,0,41
Mar 18,45,0,0,45
Mar 19,48,0,0,48
Mar 20,52,0,0,52
Mar 21,64,0,0,64
Mar 22,74,0,0,74
Mar 23,89,0,0,89
Mar 24,107,0,0,107
Mar 25,122,0,0,122
Mar 26,125,0,0,125
Mar 27,153,0,0,153
Mar 28,181,0,0,181
Mar 29,203,0,0,203
Mar 30,220,0,0,220
Mar 31,302,0,0,302
Apr 1,335,0,0,335
Apr 2,423,0,0,423
Apr 3,487,0,0,487
Apr 4,635,0,0,635
Apr 5,747,0,0,747
Apr 6,868,0,0,868
Apr 7,1018,0,0,1018
Apr 8,1135,0,0,1135
Apr 9,1364,0,0,1364
Apr 10,1574,0,0,1574
Apr 11,1761,0,0,1761
Apr 12,1982,0,0,1982
Apr 13,2334,0,0,2334
Apr 14,2361,0,0,2361
Apr 15,2576,0,0,2576
Apr 16,2842,0,0,2842
Apr 17,2910,0,0,2910
Apr 18,3310,331,199,2780
Apr 19,3637,365,209,3063
Apr 20,4653,572,230,3851
Apr 21,5203,722,249,4232
Apr 22,5632,789,267,4576
Apr 23,5632,840,281,4511
Apr 24,6792,839,299,5654
Apr 25,7603,957,321,6325
Apr 26,8043,1076,340,6627
Apr 27,8565,1282,367,6916
Apr 28,9293,1388,398,7507
Apr 29,9890,1593,430,7867
Apr 30,10498,1773,457,8268
May 1,11506,1879,485,9142
May 2,12296,1879,521,9896
May 3,12974,2115,548,10311
May 4,14541,2465,583,11493
May 5,15525,2819,617,12089
May 6,16756,2819,651,13286
May 7,18120,3301,694,14125
May 8,19063,3470,731,14862
May 9,19063,3470,731,14862
May 10,22171,3470,832,17869
May 11,23401,4786,868,17747
May 12,24427,5125,921,18381
May 13,25922,5125,975,19822
May 14,27524,6059,1019,20446
May 15,29100,6059,1068,21973
May 16,30706,7088,1135,22483
May 17,33053,7688,1198,24167
