Date,Region,Confirmed,Recovered,Deceased
09-03-2020,Maharashtra,2.0,0.0,0.0
10-03-2020,Maharashtra,5.0,0.0,0.0
11-03-2020,Maharashtra,10.0,0.0,0.0
12-03-2020,Maharashtra,14.0,0.0,1.0
13-03-2020,Maharashtra,17.0,0.0,1.0
14-03-2020,Maharashtra,31.0,0.0,1.0
15-03-2020,Maharashtra,33.0,0.0,1.0
16-03-2020,Maharashtra,39.0,0.0,1.0
17-03-2020,Maharashtra,41.0,0.0,1.0
18-03-2020,Maharashtra,45.0,0.0,1.0
19-03-2020,Maharashtra,49.0,0.0,1.0
20-03-2020,Maharashtra,54.0,0.0,1.0
21-03-2020,Maharashtra,64.0,0.0,1.0
22-03-2020,Maharashtra,74.0,0.0,2.0
23-03-2020,Maharashtra,97.0,0.0,2.0
24-03-2020,Maharashtra,107.0,0.0,2.0
25-03-2020,Maharashtra,122.0,2.0,2.0
26-03-2020,Maharashtra,130.0,2.0,2.0
27-03-2020,Maharashtra,156.0,2.0,2.0
28-03-2020,Maharashtra,180.0,25.0,5.0
29-03-2020,Maharashtra,186.0,25.0,6.0
30-03-2020,Maharashtra,198.0,25.0,8.0
31-03-2020,Maharashtra,216.0,39.0,9.0
01-04-2020,Maharashtra,302.0,39.0,9.0
02-04-2020,Maharashtra,335.0,42.0,13.0
03-04-2020,Maharashtra,335.0,42.0,16.0
04-04-2020,Maharashtra,423.0,42.0,19.0
05-04-2020,Maharashtra,490.0,42.0,24.0
06-04-2020,Maharashtra,748.0,56.0,45.0
07-04-2020,Maharashtra,868.0,56.0,48.0
08-04-2020,Maharashtra,1018.0,79.0,64.0
09-04-2020,Maharashtra,1135.0,117.0,72.0
10-04-2020,Maharashtra,1364.0,125.0,97.0
11-04-2020,Maharashtra,1574.0,188.0,110.0
12-04-2020,Maharashtra,1761.0,208.0,127.0
13-04-2020,Maharashtra,1985.0,217.0,149.0
14-04-2020,Maharashtra,2337.0,229.0,160.0
15-04-2020,Maharashtra,2687.0,259.0,178.0
16-04-2020,Maharashtra,2919.0,295.0,187.0
17-04-2020,Maharashtra,3205.0,300.0,194.0
18-04-2020,Maharashtra,3323.0,331.0,201.0
19-04-2020,Maharashtra,3651.0,365.0,211.0
20-04-2020,Maharashtra,4203.0,507.0,223.0
21-04-2020,Maharashtra,4669.0,572.0,232.0
22-04-2020,Maharashtra,5221.0,722.0,251.0
23-04-2020,Maharashtra,5652.0,789.0,269.0
24-04-2020,Maharashtra,6430.0,840.0,283.0
25-04-2020,Maharashtra,6817.0,957.0,301.0
26-04-2020,Maharashtra,7628.0,1076.0,323.0
27-04-2020,Maharashtra,8068.0,1188.0,342.0
28-04-2020,Maharashtra,8590.0,1282.0,369.0
29-04-2020,Maharashtra,9318.0,1388.0,400.0
30-04-2020,Maharashtra,9915.0,1593.0,432.0
01-05-2020,Maharashtra,10498.0,1773.0,459.0
02-05-2020,Maharashtra,11506.0,1879.0,485.0
03-05-2020,Maharashtra,12296.0,2000.0,521.0
04-05-2020,Maharashtra,12974.0,2115.0,548.0
05-05-2020,Maharashtra,14541.0,2465.0,583.0
06-05-2020,Maharashtra,15525.0,2819.0,617.0
07-05-2020,Maharashtra,16758.0,3094.0,651.0
08-05-2020,Maharashtra,17974.0,3301.0,694.0
09-05-2020,Maharashtra,19063.0,3470.0,731.0
10-05-2020,Maharashtra,20228.0,3800.0,779.0
11-05-2020,Maharashtra,22171.0,4199.0,832.0
12-05-2020,Maharashtra,23401.0,4786.0,867.0
13-05-2020,Maharashtra,24427.0,5125.0,921.0
14-05-2020,Maharashtra,25922.0,5547.0,975.0
15-05-2020,Maharashtra,27524.0,6059.0,1019.0
16-05-2020,Maharashtra,29100.0,6564.0,1068.0
17-05-2020,Maharashtra,30706.0,7088.0,1135.0
18-05-2020,Maharashtra,33053.0,7688.0,1198.0
19-05-2020,Maharashtra,35058.0,8437.0,1249.0
20-05-2020,Maharashtra,37136.0,9639.0,1325.0
21-05-2020,Maharashtra,39297.0,10318.0,1390.0
22-05-2020,Maharashtra,41642.0,11726.0,1454.0
23-05-2020,Maharashtra,44582.0,12583.0,1517.0
24-05-2020,Maharashtra,47190.0,13404.0,1577.0
25-05-2020,Maharashtra,50231.0,14600.0,1635.0
26-05-2020,Maharashtra,52667.0,15786.0,1695.0
27-05-2020,Maharashtra,54758.0,16954.0,1792.0
28-05-2020,Maharashtra,56948.0,17918.0,1897.0
29-05-2020,Maharashtra,59546.0,18616.0,1982.0
30-05-2020,Maharashtra,62228.0,26997.0,2098.0
31-05-2020,Maharashtra,65168.0,28081.0,2197.0
01-06-2020,Maharashtra,67655.0,29329.0,2286.0
02-06-2020,Maharashtra,70013.0,30108.0,2362.0
03-06-2020,Maharashtra,72300.0,31333.0,2465.0
04-06-2020,Maharashtra,74860.0,32329.0,2587.0
05-06-2020,Maharashtra,77793.0,33681.0,2710.0
06-06-2020,Maharashtra,80229.0,35156.0,2849.0
07-06-2020,Maharashtra,82968.0,37390.0,2969.0
08-06-2020,Maharashtra,85975.0,39314.0,3060.0
09-06-2020,Maharashtra,88528.0,40975.0,3169.0
10-06-2020,Maharashtra,90787.0,42638.0,3289.0
11-06-2020,Maharashtra,94041.0,44517.0,3438.0
12-06-2020,Maharashtra,97648.0,46078.0,3590.0
13-06-2020,Maharashtra,101141.0,47796.0,3717.0
14-06-2020,Maharashtra,104568.0,49346.0,3830.0
15-06-2020,Maharashtra,107958.0,50978.0,3950.0
16-06-2020,Maharashtra,110744.0,56049.0,4128.0
17-06-2020,Maharashtra,113445.0,57851.0,5537.0
18-06-2020,Maharashtra,116752.0,59166.0,5651.0
19-06-2020,Maharashtra,120504.0,60838.0,5751.0
20-06-2020,Maharashtra,124331.0,62773.0,5893.0
21-06-2020,Maharashtra,128205.0,64153.0,5984.0
22-06-2020,Maharashtra,132075.0,65744.0,6170.0
23-06-2020,Maharashtra,135796.0,67706.0,6283.0
24-06-2020,Maharashtra,139010.0,69631.0,6531.0
25-06-2020,Maharashtra,142900.0,73792.0,6739.0
26-06-2020,Maharashtra,147741.0,77453.0,6931.0
27-06-2020,Maharashtra,152765.0,79815.0,7106.0
28-06-2020,Maharashtra,159133.0,84245.0,7273.0
29-06-2020,Maharashtra,164626.0,86575.0,7429.0
30-06-2020,Maharashtra,169883.0,88960.0,7610.0
01-07-2020,Maharashtra,174761.0,90911.0,7855.0
02-07-2020,Maharashtra,180298.0,93154.0,8053.0
03-07-2020,Maharashtra,186626.0,101172.0,8178.0
04-07-2020,Maharashtra,192990.0,104687.0,8376.0
